,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,value_per_m
350,Issa,Diop,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,DEF,0.0
351,Jorge,Cuenca Barreno,0,0,3,87,1,1.2,14.6,4.0,0,16,2.0,0,0,0,0.0,44,DEF,0.7
352,Kenny,Tete,0,0,15,450,5,40.5,86.8,14.0,0,76,14.2,1,0,0,0.2,45,DEF,3.3
353,Samuel,Amissah,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,39,DEF,0.0
354,Alex,Iwobi,1,2,26,392,5,113.8,100.6,38.0,5,90,25.3,1,0,1,1.7,65,MID,4.0
355,Emile,Smith Rowe,1,0,10,95,0,23.0,40.0,40.0,0,33,10.3,0,0,0,0.7,59,MID,1.7
356,Adama,Traoré Diarra,0,0,3,60,0,16.1,4.2,12.0,0,6,2.9,0,0,0,0.2,53,MID,0.6
357,Andreas,Hoelgebaum Pereira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,53,MID,0.0
358,Ryan,Sessegnon,0,1,12,307,4,45.2,59.6,39.0,0,54,14.3,1,0,0,0.0,54,MID,2.2
359,Harry,Wilson,1,1,17,292,2,51.4,63.2,65.0,2,70,17.9,0,0,0,0.4,54,MID,3.1
360,Sander,Berge,0,0,12,418,5,37.9,55.2,13.0,0,58,10.6,1,0,1,0.1,50,MID,2.4
361,Tom,Cairney,0,0,2,34,0,1.3,0.4,0.0,0,4,0.2,0,0,1,0.0,49,MID,0.4
362,Saša,Lukić,0,1,13,445,5,160.3,50.0,22.0,0,67,23.2,1,0,3,0.1,50,MID,2.6
363,Martial,Godo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
364,Luke,Harris,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
365,Josh,King,0,0,8,337,5,32.2,28.4,69.0,0,30,12.3,0,0,1,3.8,45,MID,1.8
366,Harrison,Reed,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,44,MID,0.0
367,Raúl,Jiménez Rodríguez,0,0,6,131,1,7.9,5.2,20.0,0,4,2.6,0,0,0,1.1,63,FWD,1.0
368,Rodrigo,Muniz Carvalho,1,1,15,314,4,41.7,58.8,103.0,3,38,20.0,1,0,1,2.5,55,FWD,2.7
369,Benjamin,Lecomte,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.7,40,GK,0.0
370,Samuel,Chukwueze,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,55,MID,0.0
371,Kevin,Santos Lopes de Macedo,0,0,1,37,0,19.8,13.6,7.0,0,8,4.0,0,0,1,0.1,60,MID,0.2
372,Jonah,Kusi-Asare,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD,0.0
373,Illan,Meslier,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,44,GK,0.0
374,Alex,Cairns,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,GK,0.0
375,Karl,Darlow,0,0,6,180,2,0.0,58.6,0.0,0,38,5.9,0,0,0,2.5,40,GK,1.5
376,Jayden,Bogle,0,1,17,434,6,16.9,53.4,29.0,0,51,9.9,2,0,2,0.2,45,DEF,3.8
377,Pascal,Struijk,0,0,20,450,7,14.3,98.6,26.0,2,77,14.0,2,0,0,0.4,45,DEF,4.4
378,Jaka,Bijol,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF,0.0
379,Sebastiaan,Bornauw,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,39,DEF,0.0
380,Sam,Byram,0,0,1,7,1,0.0,0.0,0.0,0,-2,0.0,0,0,0,0.3,39,DEF,0.3
381,Gabriel,Gudmundsson,0,0,21,439,7,74.1,83.6,27.0,6,67,18.5,2,0,1,5.5,40,DEF,5.2
382,Joe,Rodon,0,0,22,450,7,2.8,97.8,4.0,2,76,10.5,2,0,0,4.1,40,DEF,5.5
383,Isaac,Schmidt,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF,0.0
384,Brenden,Aaronson,0,0,10,243,2,45.1,38.6,30.0,0,51,11.4,1,0,0,0.1,54,MID,1.9
385,Wilfried,Gnonto,0,0,6,191,5,21.4,15.8,16.0,0,27,5.3,1,0,1,0.2,53,MID,1.1
